#,UnlockCriteria1[0],UnlockCriteria1[1],UnlockCriteria1[2],UnlockCriteria1[3],UnlockCriteria1[4],UnlockCriteria1[5],UnlockCriteria2,UnlockCriteria3,UnlockCriteria4,Unknown1,Prerequisite,UnlockType1,UnlockType2,PrerequisiteType,UnlockHint,Unknown0
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
102,188,0,0,0,0,0,24222,0,0,0,0,5,43,0,0,False
103,221,0,0,0,0,0,32827,0,0,0,69208,5,7,1,52,False
104,222,0,0,0,0,0,32828,0,0,0,0,5,7,0,0,False
105,167,0,0,0,0,0,1024219,7091591,21102,0,68514,5,17,1,48,False
106,64,0,0,0,0,0,1024774,7186923,22377,0,68574,5,17,1,48,False
107,176,0,0,0,0,0,1025604,7380348,23364,0,68636,5,17,1,48,False
108,217,0,0,0,0,0,1033714,8368178,31405,0,69437,5,17,1,49,False
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
112,115,0,0,0,0,0,12041,0,0,0,0,5,8,0,0,True
113,155,0,0,0,0,0,1966,0,0,0,66967,5,11,1,51,False
114,156,0,0,0,0,0,1966,0,0,0,66967,5,11,1,51,False
115,157,0,0,0,0,0,1966,0,0,0,66967,5,11,1,51,False
116,158,0,0,0,0,0,1966,0,0,0,66967,5,11,1,51,False
117,164,0,0,0,0,0,21319,0,0,0,66047,5,5,1,41,False
118,165,0,0,0,0,0,21320,0,0,0,66047,5,5,1,41,False
119,182,0,0,0,0,0,1005244,4270098,23367,0,0,5,21,0,0,False
120,240,0,0,0,0,0,1038441,9159882,36920,0,0,5,21,0,0,False
121,238,0,0,0,0,0,1011039,5581045,36918,0,65970,5,16,1,51,False
122,237,0,0,0,0,0,1011039,5581045,36919,0,65970,5,16,1,51,False
123,196,0,0,0,0,0,1005244,4270098,25002,0,0,5,21,0,0,False
124,0,0,0,0,0,0,1038441,9159882,37247,0,0,9,21,0,0,False
125,1,0,0,0,0,0,1038441,9159882,37249,0,0,9,21,0,0,False
126,2,0,0,0,0,0,1038441,9159882,37253,0,0,9,21,0,0,False
127,3,0,0,0,0,0,1038441,9159882,37262,0,0,9,21,0,0,False
128,4,0,0,0,0,0,1038441,9159882,37255,0,0,9,21,0,0,False
129,5,0,0,0,0,0,1038441,9159882,37258,0,0,9,21,0,0,False
130,6,0,0,0,0,0,1038441,9159882,37259,0,0,9,21,0,0,False
131,7,0,0,0,0,0,1038441,9159882,37264,0,0,9,21,0,0,False
132,8,0,0,0,0,0,1038441,9159882,37248,0,0,9,21,0,0,False
133,9,0,0,0,0,0,1038441,9159882,37250,0,0,9,21,0,0,False
134,10,0,0,0,0,0,1038441,9159882,37252,0,0,9,21,0,0,False
135,11,0,0,0,0,0,1038441,9159882,37260,0,0,9,21,0,0,False
136,12,0,0,0,0,0,1038441,9159882,37265,0,0,9,21,0,0,False
137,13,0,0,0,0,0,1038441,9159882,37251,0,0,9,21,0,0,False
138,14,0,0,0,0,0,1038441,9159882,37254,0,0,9,21,0,0,False
139,15,0,0,0,0,0,1038441,9159882,37263,0,0,9,21,0,0,False
140,16,0,0,0,0,0,1038441,9159882,37256,0,0,9,21,0,0,False
141,17,0,0,0,0,0,1038441,9159882,37257,0,0,9,21,0,0,False
142,18,0,0,0,0,0,1038441,9159882,37261,0,0,9,21,0,0,False
143,19,0,0,0,0,0,1038441,9159882,37266,0,0,9,21,0,0,False
144,20,0,0,0,0,0,1038441,9159882,37267,0,0,9,21,0,0,False
145,21,0,0,0,0,0,3052,0,0,0,0,9,11,0,0,True
146,21,22,0,0,0,0,3053,0,0,0,0,11,11,0,0,True
147,21,22,23,0,0,0,3054,0,0,0,0,11,11,0,0,True
148,29,28,27,26,25,24,1005417,6245610,0,0,0,11,13,0,0,True
149,29,28,27,26,25,0,1005417,6245610,0,0,0,11,13,0,0,True
150,29,28,27,26,0,0,1005417,6245610,0,0,0,11,13,0,0,True
151,29,28,27,0,0,0,1005417,6245610,0,0,0,11,13,0,0,True
152,29,28,0,0,0,0,1005417,6245610,0,0,0,11,13,0,0,True
153,29,0,0,0,0,0,1005417,6245610,0,0,0,9,13,0,0,True
154,406,0,0,0,0,0,0,0,0,0,0,2,9,0,0,False
155,436,0,0,0,0,0,0,0,0,0,0,2,10,0,0,False
156,65801,0,0,0,0,0,65801,0,0,0,65800,1,2,1,1,False
157,65855,0,0,0,0,0,65855,0,0,0,65854,1,2,1,2,False
158,65977,0,0,0,0,0,65977,0,0,0,65976,1,2,1,3,False
159,66103,0,0,0,0,0,66103,0,0,0,66102,1,2,1,4,False
160,65975,0,0,0,0,0,65975,0,0,0,65974,1,2,1,5,False
161,65691,0,0,0,0,0,65691,0,0,0,65690,1,2,1,6,False
162,65612,0,0,0,0,0,65612,0,0,0,65607,1,2,1,7,False
163,65889,0,0,0,0,0,65889,0,0,0,65888,1,2,1,8,False
164,65997,0,0,0,0,0,65997,0,0,0,65996,1,2,1,9,False
165,66591,0,0,0,0,0,66591,0,0,0,0,1,2,0,0,False
166,66585,0,0,0,0,0,66585,0,0,0,0,1,2,0,0,False
167,67589,0,0,0,0,0,67589,0,0,0,0,1,2,0,0,False
168,68797,0,0,0,0,0,68797,0,0,0,0,1,2,0,0,False
169,66615,0,0,0,0,0,66615,0,0,0,0,1,2,0,0,False
170,66633,0,0,0,0,0,66633,0,0,0,0,1,2,0,0,False
171,67548,0,0,0,0,0,67548,0,0,0,0,1,2,0,0,False
172,69603,0,0,0,0,0,69603,0,0,0,0,1,2,0,0,False
173,66597,0,0,0,0,0,66597,0,0,0,0,1,2,0,0,False
174,66603,0,0,0,0,0,66603,0,0,0,0,1,2,0,0,False
175,65748,0,0,0,0,0,65748,0,0,0,0,1,2,0,0,False
176,68095,0,0,0,0,0,68095,0,0,0,0,1,2,0,0,False
177,69609,0,0,0,0,0,69609,0,0,0,0,1,2,0,0,False
178,66621,0,0,0,0,0,66621,0,0,0,0,1,2,0,0,False
179,67232,0,0,0,0,0,67232,0,0,0,0,1,2,0,0,False
180,68785,0,0,0,0,0,68785,0,0,0,0,1,2,0,0,False
181,66609,0,0,0,0,0,66609,0,0,0,0,1,2,0,0,False
182,66627,0,0,0,0,0,66627,0,0,0,0,1,2,0,0,False
183,68112,0,0,0,0,0,68112,0,0,0,0,1,2,0,0,False
184,68728,0,0,0,0,0,68728,0,0,0,0,1,2,0,0,False
185,66596,0,0,0,0,0,66596,0,0,0,66595,1,2,1,21,False
186,66590,0,0,0,0,0,66590,0,0,0,66589,1,2,1,22,False
187,67594,0,0,0,0,0,67594,0,0,0,67593,1,2,1,23,False
188,66620,0,0,0,0,0,66620,0,0,0,66619,1,2,1,25,False
189,66638,0,0,0,0,0,66638,0,0,0,66637,1,2,1,26,False
190,67555,0,0,0,0,0,67555,0,0,0,67554,1,2,1,27,False
191,66602,0,0,0,0,0,66602,0,0,0,66601,1,2,1,29,False
192,66608,0,0,0,0,0,66608,0,0,0,66607,1,2,1,30,False
193,65770,0,0,0,0,0,65770,0,0,0,65769,1,2,1,31,False
194,66626,0,0,0,0,0,66626,0,0,0,66625,1,2,1,34,False
195,67240,0,0,0,0,0,67240,0,0,0,67239,1,2,1,35,False
196,66614,0,0,0,0,0,66614,0,0,0,66613,1,2,1,37,False
197,66632,0,0,0,0,0,66632,0,0,0,66631,1,2,1,38,False
198,68734,0,0,0,0,0,68734,0,0,0,68733,1,2,1,40,False
199,67573,0,0,0,0,0,67573,0,0,0,67572,1,2,1,21,False
200,66137,0,0,0,0,0,66137,0,0,0,66134,1,2,1,22,False
201,67600,0,0,0,0,0,67600,0,0,0,67599,1,2,1,23,False
202,67261,0,0,0,0,0,67261,0,0,0,67260,1,2,1,25,False
203,67212,0,0,0,0,0,67212,0,0,0,67211,1,2,1,26,False
204,67561,0,0,0,0,0,67561,0,0,0,67560,1,2,1,27,False
205,67567,0,0,0,0,0,67567,0,0,0,67566,1,2,1,29,False
206,67231,0,0,0,0,0,67231,0,0,0,67230,1,2,1,30,False
207,67224,0,0,0,0,0,67224,0,0,0,67223,1,2,1,31,False
208,68101,0,0,0,0,0,68101,0,0,0,68100,1,2,1,32,False
209,67254,0,0,0,0,0,67254,0,0,0,67253,1,2,1,34,False
210,67248,0,0,0,0,0,67248,0,0,0,67247,1,2,1,35,False
211,67219,0,0,0,0,0,67219,0,0,0,67218,1,2,1,37,False
212,67641,0,0,0,0,0,67641,0,0,0,67640,1,2,1,38,False
213,68118,0,0,0,0,0,68118,0,0,0,68117,1,2,1,39,False
214,69273,0,0,0,0,0,69273,0,0,0,69272,1,2,1,40,False
215,68111,0,0,0,0,0,68111,0,0,0,68110,1,2,1,21,False
216,68440,0,0,0,0,0,68440,0,0,0,68439,1,2,1,22,False
217,68455,0,0,0,0,0,68455,0,0,0,68454,1,2,1,23,False
218,68802,0,0,0,0,0,68802,0,0,0,68801,1,2,1,24,False
219,67954,0,0,0,0,0,67954,0,0,0,67953,1,2,1,25,False
220,68463,0,0,0,0,0,68463,0,0,0,68462,1,2,1,26,False
221,67949,0,0,0,0,0,67949,0,0,0,67948,1,2,1,27,False
222,67966,0,0,0,0,0,67966,0,0,0,67965,1,2,1,29,False
223,68450,0,0,0,0,0,68450,0,0,0,68449,1,2,1,30,False
224,68488,0,0,0,0,0,68488,0,0,0,68487,1,2,1,31,False
225,68106,0,0,0,0,0,68106,0,0,0,68105,1,2,1,32,False
226,68430,0,0,0,0,0,68430,0,0,0,68429,1,2,1,34,False
227,68445,0,0,0,0,0,68445,0,0,0,68444,1,2,1,35,False
228,68790,0,0,0,0,0,68790,0,0,0,68789,1,2,1,36,False
229,68128,0,0,0,0,0,68128,0,0,0,68127,1,2,1,37,False
230,68165,0,0,0,0,0,68165,0,0,0,68164,1,2,1,38,False
231,68123,0,0,0,0,0,68123,0,0,0,68122,1,2,1,39,False
232,69530,0,0,0,0,0,69530,0,0,0,69529,1,2,1,40,False
233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
235,68784,0,0,0,0,0,68784,0,0,0,68783,1,2,1,0,False
236,68808,0,0,0,0,0,68808,0,0,0,68807,1,2,1,0,False
237,68814,0,0,0,0,0,68814,0,0,0,68813,1,2,1,0,False
238,69164,0,0,0,0,0,69164,0,0,0,69163,1,2,1,0,False
239,69643,0,0,0,0,0,69643,0,0,0,69642,1,2,1,0,False
240,69649,0,0,0,0,0,69649,0,0,0,69648,1,2,1,0,False
241,69655,0,0,0,0,0,69655,0,0,0,69654,1,2,1,0,False
242,69661,0,0,0,0,0,69661,0,0,0,69660,1,2,1,0,False
243,69667,0,0,0,0,0,69667,0,0,0,69666,1,2,1,0,False
244,65674,0,0,0,0,0,65674,0,0,0,0,1,2,0,0,False
245,65827,0,0,0,0,0,65827,0,0,0,0,1,2,0,0,False
246,65809,0,0,0,0,0,65809,0,0,0,0,1,2,0,0,False
247,66144,0,0,0,0,0,66144,0,0,0,0,1,2,0,0,False
248,65641,0,0,0,0,0,65641,0,0,0,0,1,2,0,0,False
249,66070,0,0,0,0,0,66070,0,0,0,0,1,2,0,0,False
250,66111,0,0,0,0,0,66111,0,0,0,0,1,2,0,0,False
251,65807,0,0,0,0,0,65807,0,0,0,0,1,2,0,0,False
252,66075,0,0,0,0,0,66075,0,0,0,66074,1,2,1,10,False
253,65838,0,0,0,0,0,65838,0,0,0,65837,1,2,1,11,False
254,65820,0,0,0,0,0,65820,0,0,0,65819,1,2,1,12,False
255,66194,0,0,0,0,0,66194,0,0,0,66193,1,2,1,13,False
256,65602,0,0,0,0,0,65602,0,0,0,65601,1,2,1,14,False
257,66190,0,0,0,0,0,66190,0,0,0,66189,1,2,1,15,False
258,66186,0,0,0,0,0,66186,0,0,0,66185,1,2,1,16,False
259,65806,0,0,0,0,0,65806,0,0,0,65805,1,2,1,17,False
260,67537,0,0,0,0,0,67537,0,0,0,67536,1,2,1,10,False
261,67547,0,0,0,0,0,67547,0,0,0,67546,1,2,1,11,False
262,67578,0,0,0,0,0,67578,0,0,0,67577,1,2,1,12,False
263,67610,0,0,0,0,0,67610,0,0,0,67609,1,2,1,13,False
264,67615,0,0,0,0,0,67615,0,0,0,67614,1,2,1,14,False
265,67542,0,0,0,0,0,67542,0,0,0,67541,1,2,1,15,False
266,67605,0,0,0,0,0,67605,0,0,0,67604,1,2,1,16,False
267,67583,0,0,0,0,0,67583,0,0,0,67582,1,2,1,17,False
268,67981,0,0,0,0,0,67981,0,0,0,67980,1,2,1,10,False
269,68155,0,0,0,0,0,68155,0,0,0,68154,1,2,1,11,False
270,68134,0,0,0,0,0,68134,0,0,0,68133,1,2,1,12,False
271,68139,0,0,0,0,0,68139,0,0,0,68138,1,2,1,13,False
272,68151,0,0,0,0,0,68151,0,0,0,68150,1,2,1,14,False
273,67971,0,0,0,0,0,67971,0,0,0,67970,1,2,1,15,False
274,67976,0,0,0,0,0,67976,0,0,0,67975,1,2,1,16,False
275,68144,0,0,0,0,0,68144,0,0,0,68143,1,2,1,17,False
276,66133,0,0,0,0,0,66133,0,0,0,0,1,2,0,0,False
277,65539,0,0,0,0,0,65539,0,0,0,0,1,2,0,0,False
278,66643,0,0,0,0,0,66643,0,0,0,0,1,2,0,0,False
279,66182,0,0,0,0,0,66182,0,0,0,66181,1,2,1,18,False
280,65549,0,0,0,0,0,65549,0,0,0,65548,1,2,1,19,False
281,66654,0,0,0,0,0,66654,0,0,0,66653,1,2,1,20,False
282,67620,0,0,0,0,0,67620,0,0,0,67619,1,2,1,18,False
283,67588,0,0,0,0,0,67588,0,0,0,67587,1,2,1,19,False
284,67625,0,0,0,0,0,67625,0,0,0,67624,1,2,1,20,False
285,68094,0,0,0,0,0,68094,0,0,0,68093,1,2,1,18,False
286,68160,0,0,0,0,0,68160,0,0,0,68159,1,2,1,19,False
287,68435,0,0,0,0,0,68435,0,0,0,68434,1,2,1,20,False
288,68765,0,0,0,0,0,68765,0,0,0,68764,1,2,1,0,False
289,68768,0,0,0,0,0,68768,0,0,0,68767,1,2,1,0,False
290,68771,0,0,0,0,0,68771,0,0,0,68770,1,2,1,0,False
291,68774,0,0,0,0,0,68774,0,0,0,68773,1,2,1,0,False
292,68777,0,0,0,0,0,68777,0,0,0,68776,1,2,1,0,False
293,69674,0,0,0,0,0,69674,0,0,0,69673,1,2,1,0,False
294,69681,0,0,0,0,0,69681,0,0,0,69680,1,2,1,0,False
295,69688,0,0,0,0,0,69688,0,0,0,69687,1,2,1,0,False
296,69695,0,0,0,0,0,69695,0,0,0,69694,1,2,1,0,False
297,69702,0,0,0,0,0,69702,0,0,0,69701,1,2,1,0,False
298,65971,0,0,0,0,0,65971,0,0,0,0,1,2,0,0,False
299,66196,0,0,0,0,0,66196,0,0,0,66214,1,2,1,41,False
300,68746,0,0,0,0,0,68746,0,0,0,68111,1,2,1,21,False
301,68748,0,0,0,0,0,68748,0,0,0,68440,1,2,1,22,False
302,68757,0,0,0,0,0,68757,0,0,0,68455,1,2,1,23,False
303,68761,0,0,0,0,0,68761,0,0,0,68802,1,2,1,24,False
304,68751,0,0,0,0,0,68751,0,0,0,67954,1,2,1,25,False
305,68754,0,0,0,0,0,68754,0,0,0,68463,1,2,1,26,False
306,68758,0,0,0,0,0,68758,0,0,0,67949,1,2,1,27,False
307,69608,0,0,0,0,0,69608,0,0,0,69607,1,2,1,28,False
308,68747,0,0,0,0,0,68747,0,0,0,67966,1,2,1,29,False
309,68749,0,0,0,0,0,68749,0,0,0,68450,1,2,1,30,False
310,68755,0,0,0,0,0,68755,0,0,0,68488,1,2,1,31,False
311,68759,0,0,0,0,0,68759,0,0,0,68106,1,2,1,32,False
312,69614,0,0,0,0,0,69614,0,0,0,69613,1,2,1,33,False
313,68750,0,0,0,0,0,68750,0,0,0,68430,1,2,1,34,False
314,68756,0,0,0,0,0,68756,0,0,0,68445,1,2,1,35,False
315,68762,0,0,0,0,0,68762,0,0,0,68790,1,2,1,36,False
316,68752,0,0,0,0,0,68752,0,0,0,68128,1,2,1,37,False
317,68753,0,0,0,0,0,68753,0,0,0,68165,1,2,1,38,False
318,68760,0,0,0,0,0,68760,0,0,0,68123,1,2,1,39,False
319,30057,0,0,0,0,0,280,0,0,0,30057,4,3,3,63,False
320,30067,0,0,0,0,0,539,0,0,0,30067,4,3,3,63,False
321,30086,0,0,0,0,0,694,0,0,0,30086,4,3,3,64,False
322,30106,0,0,0,0,0,788,0,0,0,30106,4,3,3,65,False
323,32,0,0,0,0,0,3114,0,0,0,0,9,11,0,0,True
324,32,33,0,0,0,0,3115,0,0,0,0,11,11,0,0,True
325,32,33,34,0,0,0,3116,0,0,0,0,11,11,0,0,True
326,40,39,38,37,36,35,1005417,6245610,0,0,0,11,13,0,0,True
327,40,39,38,37,36,0,1005417,6245610,0,0,0,11,13,0,0,True
328,40,39,38,37,0,0,1005417,6245610,0,0,0,11,13,0,0,True
329,40,39,38,0,0,0,1005417,6245610,0,0,0,11,13,0,0,True
330,40,39,0,0,0,0,1005417,6245610,0,0,0,11,13,0,0,True
331,40,0,0,0,0,0,1005417,6245610,0,0,0,9,13,0,0,True
332,41,0,0,0,0,0,3117,0,0,0,0,9,11,0,0,True
333,41,42,0,0,0,0,3118,0,0,0,0,11,11,0,0,True
334,41,42,43,0,0,0,3119,0,0,0,0,11,11,0,0,True
335,49,48,47,46,45,44,1005417,6245610,0,0,0,11,13,0,0,True
336,49,48,47,46,45,0,1005417,6245610,0,0,0,11,13,0,0,True
337,49,48,47,46,0,0,1005417,6245610,0,0,0,11,13,0,0,True
338,49,48,47,0,0,0,1005417,6245610,0,0,0,11,13,0,0,True
339,49,48,0,0,0,0,1005417,6245610,0,0,0,11,13,0,0,True
340,49,0,0,0,0,0,1005417,6245610,0,0,0,9,13,0,0,True
341,30,0,0,0,0,0,1038441,9159882,38348,0,0,9,21,0,0,False
342,31,0,0,0,0,0,1038441,9159882,38349,0,0,9,21,0,0,False
343,50,0,0,0,0,0,1043625,9323367,38465,0,37001,9,24,3,55,False
344,51,0,0,0,0,0,1043418,9308277,38466,0,70142,9,17,1,50,False
345,248,0,0,0,0,0,1038441,9159882,38572,0,0,5,21,0,0,False
346,66047,0,0,0,0,0,66047,0,0,0,65879,1,2,1,41,False
347,255,0,0,0,0,0,0,0,0,0,66621,2,15,1,34,False
348,2,0,0,0,0,0,6004,0,0,0,0,6,30,0,0,False
349,3,0,0,0,0,0,6005,0,0,0,0,6,30,0,0,False
350,1,0,0,0,0,0,6003,0,0,0,0,6,30,0,0,False
351,5,0,0,0,0,0,6166,0,0,0,0,6,12,0,0,False
352,12,0,0,0,0,0,5,0,6173,0,5,6,31,4,66,False
353,28,0,0,0,0,0,1008119,4374264,6189,0,0,6,29,0,0,False
354,33,0,0,0,0,0,66558,0,0,0,67089,6,2,1,51,False
355,34,0,0,0,0,0,6195,0,0,0,0,6,7,0,0,False
356,41,0,0,0,0,0,66386,0,0,0,66384,6,2,1,41,False
357,44,0,0,0,0,0,14,0,6205,0,14,6,31,4,66,False
358,51,0,0,0,0,0,1008145,4326414,6212,0,0,6,28,0,0,False
359,53,0,0,0,0,0,6214,0,0,0,0,6,45,0,0,False
360,35,0,0,0,0,0,66826,0,0,0,66825,6,2,1,51,False
361,19,0,0,0,0,0,66827,0,0,0,66825,6,2,1,51,False
362,23,0,0,0,0,0,6184,0,0,0,0,6,43,0,0,False
363,81,0,0,0,0,0,7568,0,0,0,0,6,45,0,0,False
364,79,0,0,0,0,0,7558,0,0,0,0,6,12,0,0,False
365,97,0,0,0,0,0,8202,0,0,0,0,6,43,0,0,False
366,110,0,0,0,0,0,9347,0,0,0,0,6,44,0,0,False
367,117,0,0,0,0,0,1011039,5581045,9351,0,65970,6,16,1,51,False
368,149,0,0,0,0,0,67649,0,0,0,67205,6,2,1,52,False
369,157,0,0,0,0,0,1031680,8104544,13275,0,69208,6,18,1,52,False
370,166,0,0,0,0,0,41,0,13283,0,41,6,31,4,67,False
371,241,0,0,0,0,0,20525,0,0,0,0,6,44,0,0,False
372,253,0,0,0,0,0,20537,0,0,0,0,6,43,0,0,False
